ip_code,series,card_number,parallel_ext,card_name_jp,card_name_cn,rarity,color,type,energy_required,ap,bp,bp_pm,affinity,energy_generated_raw,effect_jp,effect_cn,trigger
MST,UA54BT,MST-1-072,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-073,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-074,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-075,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-076,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-077,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-078,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-079,,,,,Green,,,,,,,,,,
MST,UA54BT,MST-1-080,,,,,Green,,,,,,,,,,
,,,,,,,,,,,,,,,,,
